Name,Date of Birth,Type of Parliamentarian,House of Commons,Senate,Riding/Senatorial Division,Province/Territory,Gender,Political Affiliation,Years of Service
"Dickson, Fred",1937-07-04,"Senator (2009/01/02 - 2012/02/09)
",NA,"2009/01/02 - 2012/02/09
","Nova Scotia (2009/01/02 - 2012/02/09)
","Nova Scotia
",Man,"Conservative Party of Canada (2009/01/02 - 2012/02/09)
","1134 days (3 years, 1 months, 8 days)"
"Diefenbaker, John George",1895-09-18,"MP (1953/08/10 - 1979/08/16)
MP (1940/03/26 - 1953/08/09)
","1953/08/10 - 1979/08/16
1940/03/26 - 1953/08/09
",NA,"Prince Albert (1953/08/10 - 1979/08/16)
Lake Centre (1940/03/26 - 1953/08/09)
","Saskatchewan
Saskatchewan
",Man,"Progressive Conservative Party (1942/12/11 - 1979/08/16)
Conservative (1867-1942) (1940/03/26 - 1942/12/10)
","14388 days (39 years, 4 months, 21 days)"
"Dingwall, David Charles",1952-06-29,"MP (1980/02/18 - 1997/06/01)
","1980/02/18 - 1997/06/01
",NA,"Cape Breton--East Richmond (1980/02/18 - 1997/06/01)
","Nova Scotia
",Man,"Liberal Party of Canada (1980/02/18 - 1997/06/02)
","6314 days (17 years, 3 months, 14 days)"
"Dinsdale, Walter Gilbert",1916-04-03,"MP (1953/08/10 - 1982/11/20)
MP (1951/06/25 - 1953/08/09)
","1953/08/10 - 1982/11/20
1951/06/25 - 1953/08/09
",NA,"Brandon--Souris (1953/08/10 - 1982/11/20)
Brandon (1951/06/25 - 1953/08/09)
","Manitoba
Manitoba
",Man,"Progressive Conservative Party (1951/06/25 - 1982/11/20)
","11472 days (31 years, 4 months, 27 days)"
"Dion, Rolland",1938-07-05,"MP (1979/05/22 - 1984/09/03)
","1979/05/22 - 1984/09/03
",NA,"Portneuf (1979/05/22 - 1984/09/03)
","Quebec
",Man,"Liberal Party of Canada (1979/05/22 - 1984/09/03)
","1932 days (5 years, 3 months, 15 days)"
"Dion, Stéphane",1955-09-28,"MP (2015/10/19 - 2017/02/06)
MP (1996/03/25 - 2015/10/18)
","2015/10/19 - 2017/02/06
1996/03/25 - 2015/10/18
",NA,"Saint-Laurent (2015/10/19 - 2017/02/06)
Saint-Laurent--Cartierville (1996/03/25 - 2015/10/18)
","Quebec
Quebec
",Man,"Liberal Party of Canada (1996/03/25 - 2017/02/06)
","7624 days (20 years, 10 months, 15 days)"
"Dionne, Charles-Eugène",1908-05-07,"MP (1962/06/18 - 1979/05/21)
","1962/06/18 - 1979/05/21
",NA,"Kamouraska (1962/06/18 - 1979/05/21)
","Quebec
",Man,"Social Credit Party of Canada (1971/04/01 - 1979/05/21)
Ralliement des créditistes (1963/09/01 - 1971/03/31)
Social Credit Party of Canada (1962/06/18 - 1963/08/31)
","6182 days (16 years, 11 months, 3 days)"
"Dionne, Marcel",1931-11-21,"MP (1979/05/22 - 1984/09/03)
","1979/05/22 - 1984/09/03
",NA,"Chicoutimi (1979/05/22 - 1984/09/03)
","Quebec
",Man,"Liberal Party of Canada (1979/05/22 - 1984/09/03)
","1932 days (5 years, 3 months, 15 days)"
"Dionne, Maurice Adrian",1936-08-26,"MP (1988/11/21 - 1993/10/24)
MP (1974/07/08 - 1984/09/03)
","1988/11/21 - 1993/10/24
1974/07/08 - 1984/09/03
",NA,"Miramichi (1988/11/21 - 1993/10/24)
Northumberland--Miramichi (1974/07/08 - 1984/09/03)
","New Brunswick
New Brunswick
",Man,"Liberal Party of Canada (1988/11/21 - 1993/10/24)
Liberal Party of Canada (1974/07/08 - 1984/09/03)
","5510 days (15 years, 1 months, 1 days)"
"Dionne Labelle, Pierre",1955-06-04,"MP (2011/05/02 - 2015/10/18)
","2011/05/02 - 2015/10/18
",NA,"Rivière-du-Nord (2011/05/02 - 2015/10/18)
","Quebec
",Man,"New Democratic Party (2011/05/02 - 2015/10/18)
","1631 days (4 years, 5 months, 18 days)"
"Diotte, Kerry",1956-02-26,"MP (2015/10/19 - 2021/09/19)
","2015/10/19 - 2021/09/19
",NA,"Edmonton Griesbach (2015/10/19 - 2021/09/19)
","Alberta
",Man,"Conservative Party of Canada (2015/10/19 - 2021/09/19)
","2163 days (5 years, 11 months, 2 days)"
"Discepola, Nunzio (Nick)",1949-11-27,"MP (1997/06/02 - 2004/06/27)
MP (1993/10/25 - 1997/06/01)
","1997/06/02 - 2004/06/27
1993/10/25 - 1997/06/01
",NA,"Vaudreuil--Soulanges (1997/06/02 - 2004/06/27)
Vaudreuil (1993/10/25 - 1997/06/01)
","Quebec
Quebec
",Man,"Liberal Party of Canada (1993/10/25 - 2004/06/27)
","3899 days (10 years, 8 months, 4 days)"
"Dobbie, Dorothy I.",1945-01-05,"MP (1988/11/21 - 1993/10/24)
","1988/11/21 - 1993/10/24
",NA,"Winnipeg South (1988/11/21 - 1993/10/24)
","Manitoba
",Woman,"Progressive Conservative Party (1988/11/21 - 1993/10/24)
","1799 days (4 years, 11 months, 3 days)"
"Dockrill, Michelle",1959-05-22,"MP (1998/06/18 - 2000/11/26)
MP (1997/06/02 - 1998/06/17)
","1998/06/18 - 2000/11/26
1997/06/02 - 1998/06/17
",NA,"Bras d'Or--Cape Breton (1998/06/18 - 2000/11/26)
Bras d'Or (1997/06/02 - 1998/06/17)
","Nova Scotia
Nova Scotia
",Woman,"New Democratic Party (1997/06/02 - 2000/11/27)
","1274 days (3 years, 5 months, 26 days)"
"Doherty, Todd",NA,"MP (2015/10/19 - )
","2015/10/19 - 
",NA,"Cariboo--Prince George (2015/10/19 - )
","British Columbia
",Man,"Conservative Party of Canada (2015/10/19 - )
","3066 days (8 years, 4 months, 22 days)"
"Domm, William Henry (Bill)",1930-07-24,"MP (1979/05/22 - 1993/10/24)
","1979/05/22 - 1993/10/24
",NA,"Peterborough (1979/05/22 - 1993/10/24)
","Ontario
",Man,"Progressive Conservative Party (1979/05/22 - 1993/10/24)
","5270 days (14 years, 5 months, 5 days)"
"Donahoe, Richard Alphonsus",1909-09-27,"Senator (1979/09/13 - 1984/09/27)
",NA,"1979/09/13 - 1984/09/27
","Halifax (1979/09/13 - 1984/09/27)
","Nova Scotia
",Man,"Progressive Conservative Party (1979/09/13 - 1984/09/27)
","1842 days (5 years, 16 days)"
"Dong, Han",1977,"MP (2019/10/21 - )
","2019/10/21 - 
",NA,"Don Valley North (2019/10/21 - )
","Ontario
",Man,"Independent (2023/03/22 - )
Liberal Party of Canada (2019/10/21 - 2023/03/21)
","1603 days (4 years, 4 months, 20 days)"
"Donnelly, Fin",1966-05-27,"MP (2015/10/19 - 2019/10/20)
MP (2009/11/09 - 2015/10/18)
","2015/10/19 - 2019/10/20
2009/11/09 - 2015/10/18
",NA,"Port Moody--Coquitlam (2015/10/19 - 2019/10/20)
New Westminster--Coquitlam (2009/11/09 - 2015/10/18)
","British Columbia
British Columbia
",Man,"New Democratic Party (2009/11/09 - 2019/10/20)
","3633 days (9 years, 11 months, 11 days)"
"Doody, C. William",1931-02-26,"Senator (1979/10/03 - 2005/12/27)
",NA,"1979/10/03 - 2005/12/27
","Harbour Main-Bell Island (1979/10/03 - 2005/12/27)
","Newfoundland and Labrador
",Man,"Progressive Conservative Party (1979/10/09 - 2005/12/27)
Progressive Conservative Party (1979/10/03 - 2005/12/27)
","9583 days (26 years, 2 months, 26 days)"
"Doré Lefebvre, Rosane",1984-10-21,"MP (2011/05/02 - 2015/10/18)
","2011/05/02 - 2015/10/18
",NA,"Alfred-Pellan (2011/05/02 - 2015/10/18)
","Quebec
",Woman,"New Democratic Party (2011/05/02 - 2015/10/18)
","1631 days (4 years, 5 months, 18 days)"
"Dorin, Murray",1954-05-21,"MP (1988/11/21 - 1993/10/24)
MP (1984/09/04 - 1988/11/20)
","1988/11/21 - 1993/10/24
1984/09/04 - 1988/11/20
",NA,"Edmonton Northwest (1988/11/21 - 1993/10/24)
Edmonton West (1984/09/04 - 1988/11/20)
","Alberta
Alberta
",Man,"Progressive Conservative Party (1984/09/04 - 1993/10/24)
","3338 days (9 years, 1 months, 21 days)"
"Dorion, Jean",1942-08-17,"MP (2008/10/14 - 2011/05/01)
","2008/10/14 - 2011/05/01
",NA,"Longueuil--Pierre-Boucher (2008/10/14 - 2011/05/01)
","Quebec
",Man,"Bloc Québécois (2008/10/14 - 2011/05/01)
","930 days (2 years, 6 months, 17 days)"
"Dosanjh, Ujjal",1947-09-09,"MP (2004/06/28 - 2011/05/01)
","2004/06/28 - 2011/05/01
",NA,"Vancouver South (2004/06/28 - 2011/05/01)
","British Columbia
",Man,"Liberal Party of Canada (2004/06/28 - 2011/05/01)
","2499 days (6 years, 10 months, 4 days)"
"Doucett, George Henry",1897-05-16,"MP (1957/08/26 - 1965/11/07)
","1957/08/26 - 1965/11/07
",NA,"Lanark (1957/08/26 - 1965/11/07)
","Ontario
",Man,"Progressive Conservative Party (1957/08/26 - 1965/11/07)
","2996 days (8 years, 2 months, 13 days)"
"Douglas, Albert B.",1912-09-02,"MP (1968/06/25 - 1971/03/06)
","1968/06/25 - 1971/03/06
",NA,"Assiniboia (1968/06/25 - 1971/03/06)
","Saskatchewan
",Man,"Liberal Party of Canada (1968/06/25 - 1971/03/06)
","985 days (2 years, 8 months, 12 days)"
"Douglas, Crawford",1931-02-10,"MP (1974/07/08 - 1979/05/21)
","1974/07/08 - 1979/05/21
",NA,"Bruce (1974/07/08 - 1979/05/21)
","Ontario
",Man,"Liberal Party of Canada (1974/07/08 - 1979/05/21)
","1779 days (4 years, 10 months, 14 days)"
"Douglas, Thomas Clement (Tommy)",1904-10-20,"MP (1969/02/10 - 1979/05/21)
MP (1962/10/22 - 1968/06/24)
MP (1935/10/14 - 1944/05/31)
","1969/02/10 - 1979/05/21
1962/10/22 - 1968/06/24
1935/10/14 - 1944/05/31
",NA,"Nanaimo--Cowichan--The Islands (1969/02/10 - 1979/05/21)
Burnaby--Coquitlam (1962/10/22 - 1968/06/24)
Weyburn (1935/10/14 - 1944/05/31)
","British Columbia
British Columbia
Saskatchewan
",Man,"New Democratic Party (1969/02/10 - 1979/05/21)
New Democratic Party (1962/10/22 - 1968/06/24)
Co-operative Commonwealth Federation (1935/10/14 - 1944/05/31)
","8979 days (24 years, 6 months, 30 days)"
"Dowdall, Terry",NA,"MP (2019/10/21 - )
","2019/10/21 - 
",NA,"Simcoe--Grey (2019/10/21 - )
","Ontario
",Man,"Conservative Party of Canada (2019/10/21 - )
","1603 days (4 years, 4 months, 20 days)"
"Downe, Percy E.",NA,"Senator (2003/06/26 - )
",NA,"2003/06/26 - 
","Charlottetown (2003/06/26 - )
","Prince Edward Island
",Man,"Canadian Senators Group (2019/11/18 - )
Progressive Senate Group (2019-2019) (2019/11/14 - 2019/11/17)
Liberal Party of Canada (2003/06/26 - 2019/11/13)
","7564 days (20 years, 8 months, 16 days)"
"Downey, Cliff",1928-05-24,"MP (1968/06/25 - 1972/10/29)
","1968/06/25 - 1972/10/29
",NA,"Battle River (1968/06/25 - 1972/10/29)
","Alberta
",Man,"Progressive Conservative Party (1968/06/25 - 1972/10/29)
","1588 days (4 years, 4 months, 5 days)"
"Doyle, Norman E.",NA,"MP (2004/09/01 - 2008/10/13)
MP (2004/06/28 - 2004/08/31)
MP (1997/06/02 - 2004/06/27)
Senator (2012/01/06 - 2020/11/10)
","2004/09/01 - 2008/10/13
2004/06/28 - 2004/08/31
1997/06/02 - 2004/06/27
","2012/01/06 - 2020/11/10
","Newfoundland and Labrador (2012/01/06 - 2020/11/10)
St. John's East (2004/09/01 - 2008/10/13)
St. John's North (2004/06/28 - 2004/08/31)
St. John's East (1997/06/02 - 2004/06/27)
","Newfoundland and Labrador
Newfoundland and Labrador
Newfoundland and Labrador
Newfoundland and Labrador
",Man,"Conservative Party of Canada (2012/01/06 - 2020/11/10)
Conservative Party of Canada (2004/02/02 - 2008/10/13)
Progressive Conservative Party (1997/06/02 - 2004/02/01)
","7384 days (20 years, 2 months, 18 days)"
"Doyle, Richard J.",1923-03-10,"Senator (1985/03/19 - 1998/03/10)
",NA,"1985/03/19 - 1998/03/10
","North York (1985/03/19 - 1998/03/10)
","Ontario
",Man,"Progressive Conservative Party (1985/03/19 - 1998/03/10)
","4740 days (12 years, 11 months, 22 days)"
"Dreeshen, Earl",1953-07-09,"MP (2015/10/19 - )
MP (2008/10/14 - 2015/10/18)
","2015/10/19 - 
2008/10/14 - 2015/10/18
",NA,"Red Deer--Mountain View (2015/10/19 - )
Red Deer (2008/10/14 - 2015/10/18)
","Alberta
Alberta
",Man,"Conservative Party of Canada (2008/10/14 - )
","5627 days (15 years, 4 months, 26 days)"
"Dromisky, Stanley Peter (Stan)",1931-06-25,"MP (1993/10/25 - 2004/06/27)
","1993/10/25 - 2004/06/27
",NA,"Thunder Bay--Atikokan (1993/10/25 - 2004/06/27)
","Ontario
",Man,"Liberal Party of Canada (1993/10/25 - 2004/06/27)
","3899 days (10 years, 8 months, 4 days)"
"Drouin, Claude",1956-05-26,"MP (1997/06/02 - 2006/01/22)
","1997/06/02 - 2006/01/22
",NA,"Beauce (1997/06/02 - 2006/01/22)
","Quebec
",Man,"Liberal Party of Canada (1997/06/02 - 2006/01/22)
","3157 days (8 years, 7 months, 22 days)"
"Drouin, Francis",1983-10-07,"MP (2015/10/19 - )
","2015/10/19 - 
",NA,"Glengarry--Prescott--Russell (2015/10/19 - )
","Ontario
",Man,"Liberal Party of Canada (2015/10/19 - )
","3066 days (8 years, 4 months, 22 days)"
"Drouin, Mark Robert",1903-10-24,"Senator (1957/10/04 - 1963/10/12)
",NA,"1957/10/04 - 1963/10/12
","La Salle (1957/10/04 - 1963/10/12)
","Quebec
",Man,"Progressive Conservative Party (1957/10/04 - 1963/10/12)
","2200 days (6 years, 9 days)"
"Drouin, Vincent",1932-03-29,"MP (1962/06/18 - 1965/11/07)
","1962/06/18 - 1965/11/07
",NA,"Argenteuil--Deux-Montagnes (1962/06/18 - 1965/11/07)
","Quebec
",Man,"Liberal Party of Canada (1962/06/18 - 1965/11/07)
","1239 days (3 years, 4 months, 21 days)"
"Drury, Charles Mills (Bud)",1912-05-07,"MP (1968/06/25 - 1978/01/26)
MP (1962/06/18 - 1968/06/24)
","1968/06/25 - 1978/01/26
1962/06/18 - 1968/06/24
",NA,"Westmount (1968/06/25 - 1978/01/26)
Saint-Antoine--Westmount (1962/06/18 - 1968/06/24)
","Quebec
Quebec
",Man,"Liberal Party of Canada (1962/06/18 - 1978/01/26)
","5702 days (15 years, 7 months, 10 days)"
"Dryden, Ken",1947-08-08,"MP (2004/06/28 - 2011/05/01)
","2004/06/28 - 2011/05/01
",NA,"York Centre (2004/06/28 - 2011/05/01)
","Ontario
",Man,"Liberal Party of Canada (2004/06/28 - 2011/05/01)
","2499 days (6 years, 10 months, 4 days)"
"Dubé, Antoine",1947-05-15,"MP (1998/06/18 - 2003/03/17)
MP (1993/10/25 - 1998/06/17)
","1998/06/18 - 2003/03/17
1993/10/25 - 1998/06/17
",NA,"Lévis-et-Chutes-de-la-Chaudière (1998/06/18 - 2003/03/17)
Lévis (1993/10/25 - 1998/06/17)
","Quebec
Quebec
",Man,"Bloc Québécois (1993/10/25 - 2003/03/17)
","3431 days (9 years, 4 months, 22 days)"
"Dubé, Jean F.",1962-06-29,"MP (1997/06/02 - 2000/11/26)
","1997/06/02 - 2000/11/26
",NA,"Madawaska--Restigouche (1997/06/02 - 2000/11/26)
","New Brunswick
",Man,"Progressive Conservative Party (1997/06/02 - 2000/11/26)
","1274 days (3 years, 5 months, 26 days)"
"Dubé, Jean-Eudes",1926-11-06,"MP (1968/06/25 - 1975/04/08)
MP (1962/06/18 - 1968/06/24)
","1968/06/25 - 1975/04/08
1962/06/18 - 1968/06/24
",NA,"Restigouche (1968/06/25 - 1975/04/08)
Restigouche--Madawaska (1962/06/18 - 1968/06/24)
","New Brunswick
New Brunswick
",Man,"Liberal Party of Canada (1962/06/18 - 1975/04/08)
","4678 days (12 years, 9 months, 21 days)"
"Dubé, Matthew",1988-05-03,"MP (2015/10/19 - 2019/10/20)
MP (2011/05/02 - 2015/10/18)
","2015/10/19 - 2019/10/20
2011/05/02 - 2015/10/18
",NA,"Beloeil--Chambly (2015/10/19 - 2019/10/20)
Chambly--Borduas (2011/05/02 - 2015/10/18)
","Quebec
Quebec
",Man,"New Democratic Party (2011/05/02 - 2019/10/20)
","3094 days (8 years, 5 months, 20 days)"
"Dubois, Jean-Guy",1948-04-02,"MP (1980/02/18 - 1984/09/03)
","1980/02/18 - 1984/09/03
",NA,"Lotbinière (1980/02/18 - 1984/09/03)
","Quebec
",Man,"Liberal Party of Canada (1980/02/18 - 1984/09/03)
","1660 days (4 years, 6 months, 16 days)"
"Dubourg, Emmanuel",1958-12-26,"MP (2013/11/25 - )
","2013/11/25 - 
",NA,"Bourassa (2013/11/25 - )
","Quebec
",Man,"Liberal Party of Canada (2013/11/25 - )
","3759 days (10 years, 3 months, 16 days)"
"Duceppe, Gilles",1947-07-22,"MP (2004/09/01 - 2011/05/01)
MP (1990/08/13 - 2004/06/27)
","2004/09/01 - 2011/05/01
1990/08/13 - 2004/06/27
",NA,"Laurier--Sainte-Marie (2004/09/01 - 2011/05/01)
Laurier--Sainte-Marie (1990/08/13 - 2004/06/27)
","Quebec
Quebec
",Man,"Bloc Québécois (1990/12/19 - 2011/05/01)
Independent (1990/08/13 - 1990/12/18)
","7502 days (20 years, 6 months, 14 days)"
"Duclos, Jean-Yves",1965,"MP (2015/10/19 - )
","2015/10/19 - 
",NA,"Québec (2015/10/19 - )
","Quebec
",Man,"Liberal Party of Canada (2015/10/19 - )
","3066 days (8 years, 4 months, 22 days)"
"Duclos, Louis",1939-08-02,"MP (1974/07/08 - 1984/09/03)
","1974/07/08 - 1984/09/03
",NA,"Montmorency (1974/07/08 - 1984/09/03)
","Quebec
",Man,"Liberal Party of Canada (1974/07/08 - 1984/09/03)
","3711 days (10 years, 1 months, 29 days)"
"Duffy, Michael",1946-05-27,"Senator (2009/01/02 - 2021/05/26)
",NA,"2009/01/02 - 2021/05/26
","Prince Edward Island (2009/01/02 - 2021/05/26)
","Prince Edward Island
",Man,"Independent Senators Group (2017/06/01 - 2021/05/26)
Non-affiliated (Independent Senators Group) (2016/12/02 - 2017/05/31)
Non-affiliated (2016/06/13 - 2016/12/01)
Independent (2013/05/16 - 2016/06/12)
Conservative Party of Canada (2009/01/02 - 2013/05/15)
","4528 days (12 years, 4 months, 23 days)"
"Dufour, Nicolas",1987-06-01,"MP (2008/10/14 - 2011/05/01)
","2008/10/14 - 2011/05/01
",NA,"Repentigny (2008/10/14 - 2011/05/01)
","Quebec
",Man,"Bloc Québécois (2008/10/14 - 2011/05/01)
","930 days (2 years, 6 months, 17 days)"
"Duggan, James",1903-09-18,"Senator (1966/07/08 - 1978/02/28)
",NA,"1966/07/08 - 1978/02/28
","Avalon (1966/07/08 - 1978/02/28)
","Newfoundland and Labrador
",Man,"Liberal Party of Canada (1966/07/08 - 1978/02/28)
","4254 days (11 years, 7 months, 23 days)"
"Duguay, Léo",1944-03-13,"MP (1984/09/04 - 1988/11/20)
","1984/09/04 - 1988/11/20
",NA,"St. Boniface (1984/09/04 - 1988/11/20)
","Manitoba
",Man,"Progressive Conservative Party (1984/09/04 - 1988/11/21)
","1539 days (4 years, 2 months, 17 days)"
"Duguid, Terry",NA,"MP (2015/10/19 - )
","2015/10/19 - 
",NA,"Winnipeg South (2015/10/19 - )
","Manitoba
",Man,"Liberal Party of Canada (2015/10/19 - )
","3066 days (8 years, 4 months, 22 days)"
"Duhamel, Ron J.",1938-03-02,"MP (1997/06/02 - 2002/01/14)
MP (1988/11/21 - 1997/06/01)
Senator (2002/01/15 - 2002/09/30)
","1997/06/02 - 2002/01/14
1988/11/21 - 1997/06/01
","2002/01/15 - 2002/09/30
","Manitoba (2002/01/15 - 2002/09/30)
Saint Boniface (1997/06/02 - 2002/01/14)
St. Boniface (1988/11/21 - 1997/06/01)
","Manitoba
Manitoba
Manitoba
",Man,"Liberal Party of Canada (1988/11/21 - 2002/09/30)
","5062 days (13 years, 10 months, 10 days)"
"Dumas, Maurice",1927-05-01,"MP (1999/03/11 - 2000/11/26)
MP (1993/10/25 - 1999/03/10)
","1999/03/11 - 2000/11/26
1993/10/25 - 1999/03/10
",NA,"Argenteuil--Papineau--Mirabel (1999/03/11 - 2000/11/26)
Argenteuil--Papineau (1993/10/25 - 1999/03/10)
","Quebec
Quebec
",Man,"Bloc Québécois (1993/10/25 - 2000/11/26)
","2590 days (7 years, 1 months, 3 days)"
"Dumont, Bernard",1927-01-15,"MP (1968/06/25 - 1970/04/06)
MP (1962/06/18 - 1963/04/07)
","1968/06/25 - 1970/04/06
1962/06/18 - 1963/04/07
",NA,"Frontenac (1968/06/25 - 1970/04/06)
Bellechasse (1962/06/18 - 1963/04/07)
","Quebec
Quebec
",Man,"Ralliement des créditistes (1968/06/25 - 1970/04/06)
Social Credit Party of Canada (1962/06/18 - 1963/04/07)
","945 days (2 years, 7 months, 2 days)"
"Duncan, Eric",1987-11-10,"MP (2019/10/21 - )
","2019/10/21 - 
",NA,"Stormont--Dundas--South Glengarry (2019/10/21 - )
","Ontario
",Man,"Conservative Party of Canada (2019/10/21 - )
","1603 days (4 years, 4 months, 20 days)"
"Duncan, John",1948-12-19,"MP (2008/10/14 - 2015/10/18)
MP (1997/06/02 - 2006/01/22)
MP (1993/10/25 - 1997/06/01)
","2008/10/14 - 2015/10/18
1997/06/02 - 2006/01/22
1993/10/25 - 1997/06/01
",NA,"Vancouver Island North (2008/10/14 - 2015/10/18)
Vancouver Island North (1997/06/02 - 2006/01/22)
North Island--Powell River (1993/10/25 - 1997/06/01)
","British Columbia
British Columbia
British Columbia
",Man,"Conservative Party of Canada (2008/10/14 - 2015/10/18)
Conservative Party of Canada (2003/12/23 - 2006/01/22)
Canadian Reform Conservative Alliance (2000/03/27 - 2003/12/22)
Reform Party of Canada (1993/10/25 - 2000/03/26)
","7034 days (19 years, 3 months, 3 days)"
"Duncan, Kirsty",1966-10-31,"MP (2008/10/14 - )
","2008/10/14 - 
",NA,"Etobicoke North (2008/10/14 - )
","Ontario
",Woman,"Liberal Party of Canada (2008/10/14 - )
","5627 days (15 years, 4 months, 26 days)"
"Duncan, Linda Francis",1949-06-25,"MP (2015/10/19 - 2019/10/20)
MP (2008/10/14 - 2015/10/18)
","2015/10/19 - 2019/10/20
2008/10/14 - 2015/10/18
",NA,"Edmonton Strathcona (2015/10/19 - 2019/10/20)
Edmonton--Strathcona (2008/10/14 - 2015/10/18)
","Alberta
Alberta
",Woman,"New Democratic Party (2008/10/14 - 2019/10/20)
","4024 days (11 years, 6 days)"
"Duncan, Pat",NA,"Senator (2018/12/12 - )
",NA,"2018/12/12 - 
","Yukon (2018/12/12 - )
","Yukon
",Woman,"Independent Senators Group (2019/02/21 - )
Non-affiliated (2018/12/12 - 2019/02/20)
","1916 days (5 years, 2 months, 29 days)"
"Duplain, Claude",1954-01-10,"MP (2000/11/27 - 2004/06/27)
","2000/11/27 - 2004/06/27
",NA,"Portneuf (2000/11/27 - 2004/06/27)
","Quebec
",Man,"Liberal Party of Canada (2000/11/27 - 2004/06/28)
","1309 days (3 years, 7 months, 30 days)"
"Dupont, Raymond",1942-12-27,"MP (1979/05/22 - 1984/09/03)
MP (1972/10/30 - 1979/05/21)
","1979/05/22 - 1984/09/03
1972/10/30 - 1979/05/21
",NA,"Chambly (1979/05/22 - 1984/09/03)
Sainte-Marie (1972/10/30 - 1979/05/21)
","Quebec
Quebec
",Man,"Liberal Party of Canada (1972/10/30 - 1984/09/04)
","4327 days (11 years, 10 months, 5 days)"
"Dupras, Maurice",1923-09-13,"MP (1970/11/16 - 1984/09/03)
","1970/11/16 - 1984/09/03
",NA,"Labelle (1970/11/16 - 1984/09/03)
","Quebec
",Man,"Liberal Party of Canada (1970/11/16 - 1984/09/03)
","5041 days (13 years, 9 months, 19 days)"
"Dupuis, Renée",NA,"Senator (2016/11/10 - 2024/01/16)
",NA,"2016/11/10 - 2024/01/16
","The Laurentides (2016/11/10 - 2024/01/16)
","Quebec
",Woman,"Independent Senators Group (2017/06/01 - 2024/01/16)
Non-affiliated (Independent Senators Group) (2016/12/02 - 2017/05/31)
Non-affiliated (2016/11/10 - 2016/12/01)
","2624 days (7 years, 2 months, 6 days)"
"Dupuis, Vincent",1889-01-22,"MP (1935/10/14 - 1945/04/17)
MP (1929/07/22 - 1935/10/13)
Senator (1945/04/18 - 1967/05/11)
","1935/10/14 - 1945/04/17
1929/07/22 - 1935/10/13
","1945/04/18 - 1967/05/11
","Rigaud (1945/04/18 - 1967/05/11)
Chambly--Rouville (1935/10/14 - 1945/04/17)
Laprairie--Napierville (1929/07/22 - 1935/10/13)
","Quebec
Quebec
Quebec
",Man,"Liberal Party of Canada (1929/07/22 - 1967/05/11)
","13808 days (37 years, 9 months, 20 days)"
